db,test,time_s,throughput_pts_s,avg_lat_ms,p99_lat_ms,avg_cpu_pct,peak_cpu_pct,avg_mem_mb,peak_mem_mb
INFLUXDB,BATCH-SMALL,311.34,16059.65,12.38,40.09,10.482793803418803,16.30333333333333,317.3519230769231,393.6
INFLUXDB,BATCH-LARGE,1335.88,3742857.63,52.96,374.6,44.41217145015106,74.14416666666666,1607.371226586103,2573.312
INFLUXDB,OUT-OF-ORDER,657.13,760888.17,26.08,254.05,25.518475609756095,51.09583333333333,1012.1992682926829,1494.016
INFLUXDB,WRITE,424.39,1178162.42,16.85,170.92,30.997099056603776,44.8325,1073.543641509434,1395.712
INFLUXDB,READ,847.93,1253.83,168.607,1808.87,85.32361706349207,91.29666666666667,1034.4026571428572,1517.568
INFLUXDB,LATEST-POINT,174.01,287.34,34.48,50.98,76.57194128787879,86.17083333333333,372.52727272727276,389.5
INFLUXDB,DOWNSAMPLE,50.96,12755.81,9.91,16.04,69.7858950617284,80.16666666666667,356.11851851851856,369.8
INFLUXDB,RANGE-QUERY,47.75,51306.92,9.26,15.88,67.20649999999999,77.47666666666667,353.76,367.9
INFLUXDB,VALUE-FILTER,2705.08,314.59,537.4833333333333,1859.91,83.69289171656688,88.84166666666665,518.3175149700598,577.1
TIMESCALEDB,BATCH-SMALL,281.1,17787.12,11.14,40.78,10.741091549295774,14.121666666666668,7061.15785915493,7065.6
TIMESCALEDB,BATCH-LARGE,3600.0,421972.11,473.67,1639.2,53.73086636095643,77.80416666666666,9428.011267605634,10291.2
TIMESCALEDB,OUT-OF-ORDER,1811.92,275951.0,71.1,455.19,36.49988741232927,68.64333333333333,9682.66730454042,12113.92
TIMESCALEDB,WRITE,1393.68,358761.62,54.36,272.88,47.36216858789626,70.31166666666667,9348.382247838617,9572.352
TIMESCALEDB,READ,999.82,1083.29,194.14499999999998,4232.6,97.73218559837728,99.665,9623.458531440161,9660.416
TIMESCALEDB,LATEST-POINT,4.18,11964.72,0.6,1.44,26.501666666666665,68.65583333333333,9455.104,9468.928
TIMESCALEDB,DOWNSAMPLE,4.85,133990.23,0.74,1.59,28.509999999999998,71.535,9454.592,9467.904
TIMESCALEDB,RANGE-QUERY,4.49,556226.83,0.67,1.52,27.41708333333333,69.99166666666666,9453.824,9466.88
TIMESCALEDB,VALUE-FILTER,3231.41,268.51,629.1466666666666,3945.32,98.30570972134925,99.97500000000001,9630.1117787555,9658.368
IOTDB,BATCH-SMALL,10.11,494743.4,0.35,0.5,9.315,41.641666666666666,12165.119999999999,12185.6
IOTDB,BATCH-LARGE,181.41,27562372.45,6.93,67.48,47.02559782608695,95.0675,15070.831304347827,15564.8
IOTDB,OUT-OF-ORDER,30.63,16326483.43,1.09,2.04,26.36818181818182,64.1575,15517.323636363637,15564.8
IOTDB,WRITE,28.55,17511476.59,1.04,1.48,17.392149122807016,56.36083333333334,15556.715789473683,15575.04
IOTDB,READ,36.92,28404.8,7.070909090909091,82.77,70.201875,85.10916666666667,15553.535999999998,15575.04
IOTDB,LATEST-POINT,4.38,11427.87,0.64,1.35,20.316666666666666,56.4975,15751.68,15820.8
IOTDB,DOWNSAMPLE,9.94,65411.74,1.74,4.84,47.337738095238095,79.67583333333333,15820.8,15820.8
IOTDB,RANGE-QUERY,7.47,334858.48,1.25,2.98,38.411833333333334,61.74166666666667,15820.8,15820.8
IOTDB,VALUE-FILTER,113.56,7640.839999999999,22.290000000000003,76.59,76.59972701149425,88.72583333333334,15891.950344827586,15933.44
