db,test,time_s,throughput_pts_s,avg_lat_ms,p99_lat_ms,avg_cpu_pct,peak_cpu_pct,avg_mem_mb,peak_mem_mb
INFLUXDB,BATCH-SMALL,106.88,4678.00,10.56,36.41,4.5,7.0,192.4,207.7
INFLUXDB,BATCH-LARGE,240.45,2079443.35,23.81,238.84,23.7,36.8,1812.1,3152.9
INFLUXDB,OUT-OF-ORDER,200.75,249071.69,19.88,102.65,7.6,21.8,693.3,3145.7
INFLUXDB,WRITE,137.49,363669.90,13.59,210.95,8.8,18.8,502.9,664.9
INFLUXDB,READ,605.70,871.99,121.21,1330.58,52.3,57.5,713.8,790.5
INFLUXDB,LATEST-POINT,117.40,212.95,23.18,32.34,49.8,54.3,270.4,285.8
INFLUXDB,DOWNSAMPLE,37.34,8702.82,7.17,11.80,38.7,45.2,252.1,255.4
INFLUXDB,RANGE-QUERY,38.67,31679.75,7.45,15.17,35.6,44.0,254.3,256.6
INFLUXDB,VALUE-FILTER,2003.30,210.46,396.15,1363.74,46.9,50.2,304.4,335.2
TIMESCALEDB,BATCH-SMALL,110.59,4521.20,10.91,36.46,4.1,6.1,5450.6,5458.9
TIMESCALEDB,BATCH-LARGE,3104.23,161070.48,308.38,1036.76,31.0,40.0,6042.1,8177.7
TIMESCALEDB,OUT-OF-ORDER,396.24,126186.45,38.71,263.93,24.7,36.4,8160.1,8178.7
TIMESCALEDB,WRITE,396.41,126131.18,38.72,252.60,26.0,34.6,8185.3,8201.2
TIMESCALEDB,READ,284.43,1891.76,57.25,1672.74,77.4,87.9,8227.4,8233.0
TIMESCALEDB,LATEST-POINT,3.79,6588.95,0.53,1.56,13.7,34.7,8184.6,8192.0
TIMESCALEDB,DOWNSAMPLE,4.54,71508.71,0.67,1.74,13.9,35.9,8184.3,8191.0
TIMESCALEDB,RANGE-QUERY,4.09,305461.28,0.59,1.61,13.5,34.8,8184.3,8191.0
TIMESCALEDB,VALUE-FILTER,891.75,482.07,175.07,1299.50,76.6,88.3,8228.8,8236.0
IOTDB,BATCH-SMALL,6.26,79923.31,0.51,1.29,4.9,21.9,12520.6,12533.8
IOTDB,BATCH-LARGE,25.17,19868484.80,2.22,10.28,23.0,48.5,12573.5,12595.2
IOTDB,OUT-OF-ORDER,8.30,6021299.84,0.67,1.82,8.4,37.4,12625.9,12656.6
IOTDB,WRITE,7.84,6378193.32,0.65,2.01,6.5,30.1,12680.5,12697.6
IOTDB,READ,34.21,15215.53,6.62,78.49,34.9,45.6,12699.8,12707.8
IOTDB,LATEST-POINT,4.98,5018.40,0.75,2.65,13.6,30.1,12707.8,12707.8
IOTDB,DOWNSAMPLE,7.58,42888.90,1.26,4.06,17.2,35.0,12707.8,12707.8
IOTDB,RANGE-QUERY,8.53,146541.98,1.46,4.40,17.6,32.9,12707.8,12707.8
IOTDB,VALUE-FILTER,98.46,4366.15,19.17,73.48,38.5,41.5,12715.2,12718.1
