db,test,time_s,throughput_pts_s,avg_lat_ms,p99_lat_ms,avg_cpu_pct,peak_cpu_pct,avg_mem_mb,peak_mem_mb
INFLUXDB,BATCH-SMALL,289.46,17273.5,11.5,36.89,11.60361301369863,16.839166666666667,276.21369863013695,355.7
INFLUXDB,BATCH-LARGE,1088.32,4594226.34,43.12,252.72,54.02116296980899,76.44666666666667,1693.9351423290204,2903.04
INFLUXDB,OUT-OF-ORDER,618.92,807863.51,24.54,71.77,28.006135382955772,54.425000000000004,1004.259003236246,2051.072
INFLUXDB,WRITE,397.9,1256602.92,15.78,51.97,32.93428810720268,46.31333333333333,937.9809447236181,1213.44
INFLUXDB,READ,811.43,1310.24,161.44099999999997,1673.1,86.26576285240465,91.08583333333333,960.6759203980099,1208.32
INFLUXDB,LATEST-POINT,117.7,424.79,23.24,29.11,81.38526388888889,86.2575,720.9150000000001,728.2
INFLUXDB,DOWNSAMPLE,47.49,13685.81,9.22,14.24,71.23443333333334,80.645,701.452,707.8
INFLUXDB,RANGE-QUERY,44.79,54695.46,8.68,13.77,67.4654513888889,77.45166666666667,700.3541666666666,705.9
INFLUXDB,VALUE-FILTER,2502.3,340.07,496.8133333333333,1617.36,86.43407915993538,89.27,808.7114701130856,862.6
TIMESCALEDB,BATCH-SMALL,285.26,17528.12,11.3,71.91,10.346336805555556,13.646666666666667,331.0423611111111,356.4
TIMESCALEDB,BATCH-LARGE,3600.0,460133.19,434.41,1894.39,59.931481733502686,78.24833333333333,8321.94208673562,9275.392
TIMESCALEDB,OUT-OF-ORDER,1283.68,389505.22,50.03,336.15,51.16541145833334,71.88333333333334,9066.382399999999,9241.6
TIMESCALEDB,WRITE,1248.58,400455.05,48.72,334.91,51.40157958199357,70.41916666666667,9631.215536977492,10711.04
TIMESCALEDB,READ,809.01,1338.8,155.659,1850.06,77.38471185737977,83.56166666666667,10690.636417910448,10700.8
TIMESCALEDB,LATEST-POINT,4.27,11698.79,0.62,1.48,26.501041666666666,68.51,10572.8,10588.16
TIMESCALEDB,DOWNSAMPLE,4.81,135174.34,0.73,1.6,27.98395833333333,71.05666666666666,10572.8,10588.16
TIMESCALEDB,RANGE-QUERY,4.47,559191.98,0.66,1.54,26.783958333333334,69.4475,10572.8,10588.16
TIMESCALEDB,VALUE-FILTER,2702.43,321.06,510.05,1804.4,77.38360612855007,83.51416666666667,10690.636532137518,10700.8
IOTDB,BATCH-SMALL,11.19,446784.33,0.4,1.12,18.00560606060606,61.528333333333336,2181.864727272727,2751.488
IOTDB,BATCH-LARGE,130.42,38336216.39,4.93,27.34,54.3634420289855,82.66083333333333,12376.420173913042,14673.92
IOTDB,OUT-OF-ORDER,26.56,18824365.08,0.94,2.08,32.544583333333335,63.89416666666667,14676.195555555556,14704.64
IOTDB,WRITE,21.18,23607475.35,0.76,1.56,25.231055555555553,57.892500000000005,14721.706666666667,14735.36
IOTDB,READ,31.24,33565.71,5.975454545454546,68.31,70.65588235294118,87.76333333333334,14894.983529411766,14940.16
IOTDB,LATEST-POINT,4.58,10916.7,0.68,2.26,21.461041666666667,55.501666666666665,15022.08,15032.32
IOTDB,DOWNSAMPLE,5.95,109225.17,0.95,2.23,28.82883333333333,60.03333333333333,15036.416000000001,15042.56
IOTDB,RANGE-QUERY,7.23,345619.38,1.21,2.61,36.54783333333334,63.333333333333336,15032.320000000002,15032.32
IOTDB,VALUE-FILTER,99.14,8751.78,19.416666666666668,66.2,76.12081699346406,82.23833333333333,15051.193725490197,15052.8
