db,test,time_s,throughput_pts_s,avg_lat_ms,p99_lat_ms,avg_cpu_pct,peak_cpu_pct,avg_mem_mb,peak_mem_mb
INFLUXDB,BATCH-SMALL,102.54,4876.11,10.13,30.46,5.595401234567901,7.345833333333334,215.5203703703704,234.4
INFLUXDB,BATCH-LARGE,192.45,2598111.46,18.92,187.52,24.405185185185186,34.06666666666667,978.8292121212122,2185.216
INFLUXDB,OUT-OF-ORDER,203.71,245447.81,20.15,61.53,10.172027243589744,18.675833333333333,533.5685769230769,1939.456
INFLUXDB,WRITE,127.23,392975.2,12.56,39.75,11.61179292929293,15.943333333333333,531.9530303030303,796.9
INFLUXDB,READ,508.22,1039.24,101.125,1031.74,55.07930830039526,59.10833333333333,897.7588932806324,932.5
INFLUXDB,LATEST-POINT,110.04,227.19,21.72,33.62,55.620580357142856,60.02666666666667,569.7982142857143,795.5
INFLUXDB,DOWNSAMPLE,29.68,10951.7,5.65,8.61,41.30161458333333,48.08833333333333,311.23125,313.7
INFLUXDB,RANGE-QUERY,27.89,43923.27,5.31,8.31,40.92644444444444,47.182500000000005,309.6066666666667,311.8
INFLUXDB,VALUE-FILTER,1575.87,267.55,310.75,1003.52,49.26023307790549,51.2775,359.3469987228608,387.8
TIMESCALEDB,BATCH-SMALL,103.34,4838.2,10.2,36.4,4.127021604938271,5.5633333333333335,293.5962962962963,300.1
TIMESCALEDB,BATCH-LARGE,2330.6,214537.29,230.88,1098.29,30.981950431034484,38.800000000000004,4414.242489655172,8660.992
TIMESCALEDB,OUT-OF-ORDER,295.28,169331.43,28.96,232.6,24.21392222222222,33.30833333333333,8614.54336,8622.08
TIMESCALEDB,WRITE,284.6,175685.0,27.93,215.49,24.79839655172414,32.26833333333334,8615.03911724138,8623.104
TIMESCALEDB,READ,199.79,2693.17,39.298,922.11,54.03747524752475,57.830000000000005,8626.794455445544,8630.272
TIMESCALEDB,LATEST-POINT,3.18,7859.49,0.41,0.61,12.416944444444445,23.340833333333332,8603.306666666665,8612.864
TIMESCALEDB,DOWNSAMPLE,3.74,86933.99,0.52,0.83,14.363958333333333,33.27333333333333,8601.856,8611.84
TIMESCALEDB,RANGE-QUERY,3.54,353181.7,0.48,0.74,16.885277777777777,26.739166666666666,8602.965333333334,8610.816
TIMESCALEDB,VALUE-FILTER,666.05,645.43,130.07666666666668,893.33,55.848958333333336,57.995000000000005,8627.826120481928,8630.272
IOTDB,BATCH-SMALL,6.16,81112.44,0.5,1.11,8.599166666666667,52.56583333333333,1922.944,2219.008
IOTDB,BATCH-LARGE,18.0,27772266.64,1.56,15.43,28.36916666666667,77.70583333333333,3997.6228571428574,6601.728
IOTDB,OUT-OF-ORDER,7.45,6709314.58,0.6,1.42,10.489375,45.52916666666667,7860.352,9943.04
IOTDB,WRITE,6.26,7991224.9,0.5,0.87,8.801785714285716,33.70916666666667,9999.213714285714,10076.16
IOTDB,READ,22.05,23605.75,4.189090909090909,51.22,46.59910256410257,66.75833333333334,10145.555692307691,10161.152
IOTDB,LATEST-POINT,3.74,6686.53,0.51,1.4,17.963333333333335,43.47,10255.616,10280.96
IOTDB,DOWNSAMPLE,4.36,74576.96,0.64,1.25,16.74041666666667,44.490833333333335,10286.08,10291.2
IOTDB,RANGE-QUERY,5.55,225247.09,0.88,1.69,26.016875,44.13333333333333,10306.560000000001,10311.68
IOTDB,VALUE-FILTER,51.15,8403.91,9.796666666666667,40.5,38.707253086419755,52.41416666666667,10353.39851851852,10373.12
